=== Starting Judgment Formatting Batch Job ===
(node:50174) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
Found 234837 judgments to format.
Processing in batches of 50...
Progress: 50 / 234837 | Success: 40 | Failed: 10 (0.0%)
Progress: 2950 / 234837 | Success: 2703 | Failed: 247 (1.3%)
Progress: 3000 / 234837 | Success: 2750 | Failed: 250 (1.3%)
Progress: 3050 / 234837 | Success: 2799 | Failed: 251 (1.3%)
Progress: 3100 / 234837 | Success: 2848 | Failed: 252 (1.3%)
Progress: 3150 / 234837 | Success: 2897 | Failed: 253 (1.3%)
Progress: 3200 / 234837 | Success: 2945 | Failed: 255 (1.4%)
Progress: 3250 / 234837 | Success: 2995 | Failed: 255 (1.4%)
Progress: 3300 / 234837 | Success: 3044 | Failed: 256 (1.4%)
Progress: 3350 / 234837 | Success: 3093 | Failed: 257 (1.4%)
Progress: 3400 / 234837 | Success: 3140 | Failed: 260 (1.4%)
Progress: 3450 / 234837 | Success: 3189 | Failed: 261 (1.5%)
Progress: 3500 / 234837 | Success: 3237 | Failed: 263 (1.5%)
Progress: 3550 / 234837 | Success: 3284 | Failed: 266 (1.5%)
Progress: 3600 / 234837 | Success: 3334 | Failed: 266 (1.5%)
Progress: 3650 / 234837 | Success: 3382 | Failed: 268 (1.6%)
Progress: 3700 / 234837 | Success: 3429 | Failed: 271 (1.6%)
Progress: 3750 / 234837 | Success: 3476 | Failed: 274 (1.6%)
Progress: 3800 / 234837 | Success: 3525 | Failed: 275 (1.6%)
Progress: 3850 / 234837 | Success: 3573 | Failed: 277 (1.6%)
Progress: 3900 / 234837 | Success: 3620 | Failed: 280 (1.7%)
Progress: 3950 / 234837 | Success: 3666 | Failed: 284 (1.7%)
Progress: 4000 / 234837 | Success: 3716 | Failed: 284 (1.7%)
Progress: 4050 / 234837 | Success: 3766 | Failed: 284 (1.7%)
Progress: 4100 / 234837 | Success: 3816 | Failed: 284 (1.7%)
Progress: 4150 / 234837 | Success: 3865 | Failed: 285 (1.8%)
Progress: 4200 / 234837 | Success: 3914 | Failed: 286 (1.8%)
Progress: 4250 / 234837 | Success: 3962 | Failed: 288 (1.8%)
Progress: 4300 / 234837 | Success: 4009 | Failed: 291 (1.8%)
Progress: 4350 / 234837 | Success: 4055 | Failed: 295 (1.9%)
Progress: 4400 / 234837 | Success: 4103 | Failed: 297 (1.9%)
Progress: 4450 / 234837 | Success: 4150 | Failed: 300 (1.9%)
Progress: 4500 / 234837 | Success: 4195 | Failed: 305 (1.9%)
Progress: 4550 / 234837 | Success: 4240 | Failed: 310 (1.9%)
Progress: 4600 / 234837 | Success: 4283 | Failed: 317 (2.0%)
Progress: 4650 / 234837 | Success: 4331 | Failed: 319 (2.0%)
Progress: 4700 / 234837 | Success: 4377 | Failed: 323 (2.0%)
Progress: 4750 / 234837 | Success: 4422 | Failed: 328 (2.0%)
Progress: 4800 / 234837 | Success: 4472 | Failed: 328 (2.0%)
Progress: 4850 / 234837 | Success: 4521 | Failed: 329 (2.1%)
Progress: 4900 / 234837 | Success: 4570 | Failed: 330 (2.1%)
Progress: 4950 / 234837 | Success: 4618 | Failed: 332 (2.1%)
Progress: 5000 / 234837 | Success: 4667 | Failed: 333 (2.1%)
Progress: 5050 / 234837 | Success: 4715 | Failed: 335 (2.2%)
Progress: 5100 / 234837 | Success: 4763 | Failed: 337 (2.2%)
Progress: 5150 / 234837 | Success: 4811 | Failed: 339 (2.2%)
Progress: 5200 / 234837 | Success: 4859 | Failed: 341 (2.2%)
Progress: 5250 / 234837 | Success: 4906 | Failed: 344 (2.2%)
Progress: 5300 / 234837 | Success: 4953 | Failed: 347 (2.3%)
Progress: 5350 / 234837 | Success: 5000 | Failed: 350 (2.3%)
Progress: 5400 / 234837 | Success: 5049 | Failed: 351 (2.3%)
Progress: 5450 / 234837 | Success: 5098 | Failed: 352 (2.3%)
Progress: 5500 / 234837 | Success: 5146 | Failed: 354 (2.3%)
Progress: 5550 / 234837 | Success: 5194 | Failed: 356 (2.4%)
Progress: 5600 / 234837 | Success: 5241 | Failed: 359 (2.4%)
Progress: 5650 / 234837 | Success: 5291 | Failed: 359 (2.4%)
Progress: 5700 / 234837 | Success: 5341 | Failed: 359 (2.4%)
Progress: 5750 / 234837 | Success: 5388 | Failed: 362 (2.4%)
Progress: 5800 / 234837 | Success: 5437 | Failed: 363 (2.5%)
Progress: 5850 / 234837 | Success: 5484 | Failed: 366 (2.5%)
Progress: 5900 / 234837 | Success: 5528 | Failed: 372 (2.5%)
Progress: 5950 / 234837 | Success: 5571 | Failed: 379 (2.5%)
Progress: 6000 / 234837 | Success: 5620 | Failed: 380 (2.6%)
Progress: 6050 / 234837 | Success: 5668 | Failed: 382 (2.6%)
Progress: 6100 / 234837 | Success: 5713 | Failed: 387 (2.6%)
Progress: 6150 / 234837 | Success: 5752 | Failed: 398 (2.6%)
Progress: 6200 / 234837 | Success: 5801 | Failed: 399 (2.6%)
Progress: 6250 / 234837 | Success: 5845 | Failed: 405 (2.7%)
Progress: 6300 / 234837 | Success: 5886 | Failed: 414 (2.7%)
Progress: 6350 / 234837 | Success: 5926 | Failed: 424 (2.7%)
Progress: 6400 / 234837 | Success: 5966 | Failed: 434 (2.7%)
Progress: 6450 / 234837 | Success: 6015 | Failed: 435 (2.7%)
Progress: 6500 / 234837 | Success: 6062 | Failed: 438 (2.8%)
Progress: 6550 / 234837 | Success: 6109 | Failed: 441 (2.8%)
Progress: 6600 / 234837 | Success: 6156 | Failed: 444 (2.8%)
Progress: 6650 / 234837 | Success: 6205 | Failed: 445 (2.8%)
Progress: 6700 / 234837 | Success: 6253 | Failed: 447 (2.9%)
Progress: 6750 / 234837 | Success: 6300 | Failed: 450 (2.9%)
Progress: 6800 / 234837 | Success: 6345 | Failed: 455 (2.9%)
Progress: 6850 / 234837 | Success: 6387 | Failed: 463 (2.9%)
Progress: 6900 / 234837 | Success: 6433 | Failed: 467 (2.9%)
Progress: 6950 / 234837 | Success: 6479 | Failed: 471 (3.0%)
Progress: 7000 / 234837 | Success: 6524 | Failed: 476 (3.0%)
Progress: 7050 / 234837 | Success: 6574 | Failed: 476 (3.0%)
Progress: 7100 / 234837 | Success: 6620 | Failed: 480 (3.0%)
Progress: 7150 / 234837 | Success: 6665 | Failed: 485 (3.0%)
Progress: 7200 / 234837 | Success: 6713 | Failed: 487 (3.1%)
Progress: 7250 / 234837 | Success: 6760 | Failed: 490 (3.1%)
Progress: 7300 / 234837 | Success: 6807 | Failed: 493 (3.1%)
Progress: 7350 / 234837 | Success: 6854 | Failed: 496 (3.1%)
Progress: 7400 / 234837 | Success: 6902 | Failed: 498 (3.2%)
Progress: 7450 / 234837 | Success: 6948 | Failed: 502 (3.2%)
Progress: 7500 / 234837 | Success: 6994 | Failed: 506 (3.2%)
Progress: 7550 / 234837 | Success: 7038 | Failed: 512 (3.2%)
Progress: 7600 / 234837 | Success: 7085 | Failed: 515 (3.2%)
Progress: 7650 / 234837 | Success: 7132 | Failed: 518 (3.3%)
Progress: 7700 / 234837 | Success: 7174 | Failed: 526 (3.3%)
Progress: 7750 / 234837 | Success: 7214 | Failed: 536 (3.3%)
Progress: 7800 / 234837 | Success: 7264 | Failed: 536 (3.3%)
Progress: 7850 / 234837 | Success: 7312 | Failed: 538 (3.3%)
Progress: 7900 / 234837 | Success: 7358 | Failed: 542 (3.4%)
Progress: 7950 / 234837 | Success: 7406 | Failed: 544 (3.4%)
Progress: 8000 / 234837 | Success: 7452 | Failed: 548 (3.4%)
Progress: 8050 / 234837 | Success: 7497 | Failed: 553 (3.4%)
Progress: 8100 / 234837 | Success: 7546 | Failed: 554 (3.4%)
Progress: 8150 / 234837 | Success: 7594 | Failed: 556 (3.5%)
Progress: 8200 / 234837 | Success: 7642 | Failed: 558 (3.5%)
Progress: 8250 / 234837 | Success: 7689 | Failed: 561 (3.5%)
Progress: 8300 / 234837 | Success: 7737 | Failed: 563 (3.5%)
Progress: 8350 / 234837 | Success: 7784 | Failed: 566 (3.6%)
Progress: 8400 / 234837 | Success: 7831 | Failed: 569 (3.6%)
Progress: 8450 / 234837 | Success: 7878 | Failed: 572 (3.6%)
Progress: 8500 / 234837 | Success: 7922 | Failed: 578 (3.6%)
Progress: 8550 / 234837 | Success: 7965 | Failed: 585 (3.6%)
Progress: 8600 / 234837 | Success: 8008 | Failed: 592 (3.7%)
Progress: 8650 / 234837 | Success: 8056 | Failed: 594 (3.7%)
Progress: 8700 / 234837 | Success: 8102 | Failed: 598 (3.7%)
Progress: 8750 / 234837 | Success: 8151 | Failed: 599 (3.7%)
Progress: 8800 / 234837 | Success: 8199 | Failed: 601 (3.7%)
Progress: 8850 / 234837 | Success: 8247 | Failed: 603 (3.8%)
Progress: 8900 / 234837 | Success: 8295 | Failed: 605 (3.8%)
Progress: 8950 / 234837 | Success: 8342 | Failed: 608 (3.8%)
Progress: 9000 / 234837 | Success: 8387 | Failed: 613 (3.8%)
Progress: 9050 / 234837 | Success: 8437 | Failed: 613 (3.9%)
Progress: 9100 / 234837 | Success: 8485 | Failed: 615 (3.9%)
Progress: 9150 / 234837 | Success: 8533 | Failed: 617 (3.9%)
Progress: 9200 / 234837 | Success: 8580 | Failed: 620 (3.9%)
Progress: 9250 / 234837 | Success: 8628 | Failed: 622 (3.9%)
Progress: 9300 / 234837 | Success: 8674 | Failed: 626 (4.0%)
Progress: 9350 / 234837 | Success: 8717 | Failed: 633 (4.0%)
Progress: 9400 / 234837 | Success: 8758 | Failed: 642 (4.0%)
Progress: 9450 / 234837 | Success: 8806 | Failed: 644 (4.0%)
Progress: 9500 / 234837 | Success: 8850 | Failed: 650 (4.0%)
Progress: 9550 / 234837 | Success: 8891 | Failed: 659 (4.1%)
Progress: 9600 / 234837 | Success: 8940 | Failed: 660 (4.1%)
Progress: 9650 / 234837 | Success: 8986 | Failed: 664 (4.1%)
Progress: 9700 / 234837 | Success: 9031 | Failed: 669 (4.1%)
Progress: 9750 / 234837 | Success: 9072 | Failed: 678 (4.2%)
Progress: 9800 / 234837 | Success: 9121 | Failed: 679 (4.2%)
Progress: 9850 / 234837 | Success: 9166 | Failed: 684 (4.2%)
Progress: 9900 / 234837 | Success: 9207 | Failed: 693 (4.2%)
Progress: 9950 / 234837 | Success: 9246 | Failed: 704 (4.2%)
Progress: 10000 / 234837 | Success: 9295 | Failed: 705 (4.3%)
Progress: 10050 / 234837 | Success: 9340 | Failed: 710 (4.3%)
Progress: 10100 / 234837 | Success: 9383 | Failed: 717 (4.3%)
Progress: 10150 / 234837 | Success: 9425 | Failed: 725 (4.3%)
Progress: 10200 / 234837 | Success: 9466 | Failed: 734 (4.3%)
Progress: 10250 / 234837 | Success: 9512 | Failed: 738 (4.4%)
Progress: 10300 / 234837 | Success: 9556 | Failed: 744 (4.4%)
Progress: 10350 / 234837 | Success: 9598 | Failed: 752 (4.4%)
Progress: 10400 / 234837 | Success: 9640 | Failed: 760 (4.4%)
Progress: 10450 / 234837 | Success: 9686 | Failed: 764 (4.4%)
Progress: 10500 / 234837 | Success: 9727 | Failed: 773 (4.5%)
Progress: 10550 / 234837 | Success: 9764 | Failed: 786 (4.5%)
Progress: 10600 / 234837 | Success: 9801 | Failed: 799 (4.5%)
Progress: 10650 / 234837 | Success: 9838 | Failed: 812 (4.5%)
Progress: 10700 / 234837 | Success: 9884 | Failed: 816 (4.6%)
Progress: 10750 / 234837 | Success: 9927 | Failed: 823 (4.6%)
Progress: 10800 / 234837 | Success: 9968 | Failed: 832 (4.6%)
Progress: 10850 / 234837 | Success: 10006 | Failed: 844 (4.6%)
Progress: 10900 / 234837 | Success: 10044 | Failed: 856 (4.6%)
Progress: 10950 / 234837 | Success: 10092 | Failed: 858 (4.7%)
Progress: 11000 / 234837 | Success: 10137 | Failed: 863 (4.7%)
Progress: 11050 / 234837 | Success: 10177 | Failed: 873 (4.7%)
Progress: 11100 / 234837 | Success: 10215 | Failed: 885 (4.7%)
Progress: 11150 / 234837 | Success: 10262 | Failed: 888 (4.7%)
Progress: 11200 / 234837 | Success: 10306 | Failed: 894 (4.8%)
Progress: 11250 / 234837 | Success: 10349 | Failed: 901 (4.8%)
Progress: 11300 / 234837 | Success: 10391 | Failed: 909 (4.8%)
Progress: 11350 / 234837 | Success: 10432 | Failed: 918 (4.8%)
Progress: 11400 / 234837 | Success: 10472 | Failed: 928 (4.9%)
Progress: 11450 / 234837 | Success: 10510 | Failed: 940 (4.9%)
Progress: 11500 / 234837 | Success: 10560 | Failed: 940 (4.9%)
Progress: 11550 / 234837 | Success: 10610 | Failed: 940 (4.9%)
Progress: 11600 / 234837 | Success: 10660 | Failed: 940 (4.9%)
Progress: 11650 / 234837 | Success: 10709 | Failed: 941 (5.0%)
Progress: 11700 / 234837 | Success: 10756 | Failed: 944 (5.0%)
Progress: 11750 / 234837 | Success: 10802 | Failed: 948 (5.0%)
Progress: 11800 / 234837 | Success: 10849 | Failed: 951 (5.0%)
Progress: 11850 / 234837 | Success: 10895 | Failed: 955 (5.0%)
Progress: 11900 / 234837 | Success: 10941 | Failed: 959 (5.1%)
Progress: 11950 / 234837 | Success: 10989 | Failed: 961 (5.1%)
Progress: 12000 / 234837 | Success: 11037 | Failed: 963 (5.1%)
Progress: 12050 / 234837 | Success: 11084 | Failed: 966 (5.1%)
Progress: 12100 / 234837 | Success: 11129 | Failed: 971 (5.2%)
Progress: 12150 / 234837 | Success: 11178 | Failed: 972 (5.2%)
Progress: 12200 / 234837 | Success: 11226 | Failed: 974 (5.2%)
Progress: 12250 / 234837 | Success: 11272 | Failed: 978 (5.2%)
Progress: 12300 / 234837 | Success: 11318 | Failed: 982 (5.2%)
Progress: 12350 / 234837 | Success: 11368 | Failed: 982 (5.3%)
Progress: 12400 / 234837 | Success: 11417 | Failed: 983 (5.3%)
Progress: 12450 / 234837 | Success: 11464 | Failed: 986 (5.3%)
Progress: 12500 / 234837 | Success: 11509 | Failed: 991 (5.3%)
Progress: 12550 / 234837 | Success: 11559 | Failed: 991 (5.3%)
Progress: 12600 / 234837 | Success: 11608 | Failed: 992 (5.4%)
Progress: 12650 / 234837 | Success: 11654 | Failed: 996 (5.4%)
Progress: 12700 / 234837 | Success: 11703 | Failed: 997 (5.4%)
Progress: 12750 / 234837 | Success: 11750 | Failed: 1000 (5.4%)
Progress: 12800 / 234837 | Success: 11797 | Failed: 1003 (5.5%)
Progress: 12850 / 234837 | Success: 11842 | Failed: 1008 (5.5%)
Progress: 12900 / 234837 | Success: 11889 | Failed: 1011 (5.5%)
Progress: 12950 / 234837 | Success: 11934 | Failed: 1016 (5.5%)
Progress: 13000 / 234837 | Success: 11978 | Failed: 1022 (5.5%)
Progress: 13050 / 234837 | Success: 12020 | Failed: 1030 (5.6%)
Progress: 13100 / 234837 | Success: 12069 | Failed: 1031 (5.6%)
Progress: 13150 / 234837 | Success: 12117 | Failed: 1033 (5.6%)
Progress: 13200 / 234837 | Success: 12165 | Failed: 1035 (5.6%)
Progress: 13250 / 234837 | Success: 12215 | Failed: 1035 (5.6%)
Progress: 13300 / 234837 | Success: 12264 | Failed: 1036 (5.7%)
Progress: 13350 / 234837 | Success: 12313 | Failed: 1037 (5.7%)
Progress: 13400 / 234837 | Success: 12361 | Failed: 1039 (5.7%)
Progress: 13450 / 234837 | Success: 12405 | Failed: 1045 (5.7%)
Progress: 13500 / 234837 | Success: 12449 | Failed: 1051 (5.7%)
Progress: 13550 / 234837 | Success: 12492 | Failed: 1058 (5.8%)
Progress: 13600 / 234837 | Success: 12535 | Failed: 1065 (5.8%)
Progress: 13650 / 234837 | Success: 12581 | Failed: 1069 (5.8%)
Progress: 13700 / 234837 | Success: 12625 | Failed: 1075 (5.8%)
Progress: 13750 / 234837 | Success: 12664 | Failed: 1086 (5.9%)
Progress: 13800 / 234837 | Success: 12712 | Failed: 1088 (5.9%)
Progress: 13850 / 234837 | Success: 12760 | Failed: 1090 (5.9%)
Progress: 13900 / 234837 | Success: 12809 | Failed: 1091 (5.9%)
Progress: 13950 / 234837 | Success: 12857 | Failed: 1093 (5.9%)
Progress: 14000 / 234837 | Success: 12904 | Failed: 1096 (6.0%)
Progress: 14050 / 234837 | Success: 12949 | Failed: 1101 (6.0%)
Progress: 14100 / 234837 | Success: 12998 | Failed: 1102 (6.0%)
Progress: 14150 / 234837 | Success: 13045 | Failed: 1105 (6.0%)
Progress: 14200 / 234837 | Success: 13091 | Failed: 1109 (6.0%)
Progress: 14250 / 234837 | Success: 13133 | Failed: 1117 (6.1%)
Progress: 14300 / 234837 | Success: 13172 | Failed: 1128 (6.1%)
Progress: 14350 / 234837 | Success: 13211 | Failed: 1139 (6.1%)
Progress: 14400 / 234837 | Success: 13259 | Failed: 1141 (6.1%)
Progress: 14450 / 234837 | Success: 13305 | Failed: 1145 (6.2%)
Progress: 14500 / 234837 | Success: 13351 | Failed: 1149 (6.2%)
Progress: 14550 / 234837 | Success: 13396 | Failed: 1154 (6.2%)
Progress: 14600 / 234837 | Success: 13445 | Failed: 1155 (6.2%)
Progress: 14650 / 234837 | Success: 13494 | Failed: 1156 (6.2%)
Progress: 14700 / 234837 | Success: 13541 | Failed: 1159 (6.3%)
Progress: 14750 / 234837 | Success: 13587 | Failed: 1163 (6.3%)
Progress: 14800 / 234837 | Success: 13635 | Failed: 1165 (6.3%)
Progress: 14850 / 234837 | Success: 13681 | Failed: 1169 (6.3%)
Progress: 14900 / 234837 | Success: 13727 | Failed: 1173 (6.3%)
Progress: 14950 / 234837 | Success: 13773 | Failed: 1177 (6.4%)
Progress: 15000 / 234837 | Success: 13823 | Failed: 1177 (6.4%)
Progress: 15050 / 234837 | Success: 13857 | Failed: 1193 (6.4%)
Progress: 15100 / 234837 | Success: 13902 | Failed: 1198 (6.4%)
Progress: 15150 / 234837 | Success: 13947 | Failed: 1203 (6.5%)
Progress: 15200 / 234837 | Success: 13972 | Failed: 1228 (6.5%)
Progress: 15250 / 234837 | Success: 14002 | Failed: 1248 (6.5%)
Progress: 15300 / 234837 | Success: 14031 | Failed: 1269 (6.5%)
Progress: 15350 / 234837 | Success: 14065 | Failed: 1285 (6.5%)
Progress: 15400 / 234837 | Success: 14090 | Failed: 1310 (6.6%)
Progress: 15450 / 234837 | Success: 14103 | Failed: 1347 (6.6%)
Progress: 15500 / 234837 | Success: 14121 | Failed: 1379 (6.6%)
Progress: 15550 / 234837 | Success: 14169 | Failed: 1381 (6.6%)
Progress: 15600 / 234837 | Success: 14211 | Failed: 1389 (6.6%)
Progress: 15650 / 234837 | Success: 14248 | Failed: 1402 (6.7%)
Progress: 15700 / 234837 | Success: 14288 | Failed: 1412 (6.7%)
Progress: 15750 / 234837 | Success: 14318 | Failed: 1432 (6.7%)
Progress: 15800 / 234837 | Success: 14359 | Failed: 1441 (6.7%)
Progress: 15850 / 234837 | Success: 14397 | Failed: 1453 (6.7%)
Progress: 15900 / 234837 | Success: 14436 | Failed: 1464 (6.8%)
Progress: 15950 / 234837 | Success: 14484 | Failed: 1466 (6.8%)
Progress: 16000 / 234837 | Success: 14532 | Failed: 1468 (6.8%)
Progress: 16050 / 234837 | Success: 14580 | Failed: 1470 (6.8%)
Progress: 16100 / 234837 | Success: 14629 | Failed: 1471 (6.9%)
Progress: 16150 / 234837 | Success: 14678 | Failed: 1472 (6.9%)
Progress: 16200 / 234837 | Success: 14727 | Failed: 1473 (6.9%)
Progress: 16250 / 234837 | Success: 14775 | Failed: 1475 (6.9%)
Progress: 16300 / 234837 | Success: 14823 | Failed: 1477 (6.9%)
Progress: 16350 / 234837 | Success: 14872 | Failed: 1478 (7.0%)
Progress: 16400 / 234837 | Success: 14921 | Failed: 1479 (7.0%)
Progress: 16450 / 234837 | Success: 14968 | Failed: 1482 (7.0%)
Progress: 16500 / 234837 | Success: 15013 | Failed: 1487 (7.0%)
Progress: 16550 / 234837 | Success: 15062 | Failed: 1488 (7.0%)
Progress: 16600 / 234837 | Success: 15110 | Failed: 1490 (7.1%)
Progress: 16650 / 234837 | Success: 15156 | Failed: 1494 (7.1%)
Progress: 16700 / 234837 | Success: 15202 | Failed: 1498 (7.1%)
Progress: 16750 / 234837 | Success: 15247 | Failed: 1503 (7.1%)
Progress: 16800 / 234837 | Success: 15290 | Failed: 1510 (7.2%)
Progress: 16850 / 234837 | Success: 15338 | Failed: 1512 (7.2%)
Progress: 16900 / 234837 | Success: 15385 | Failed: 1515 (7.2%)
Progress: 16950 / 234837 | Success: 15430 | Failed: 1520 (7.2%)
Progress: 17000 / 234837 | Success: 15473 | Failed: 1527 (7.2%)
Progress: 17050 / 234837 | Success: 15523 | Failed: 1527 (7.3%)
Progress: 17100 / 234837 | Success: 15573 | Failed: 1527 (7.3%)
Progress: 17150 / 234837 | Success: 15623 | Failed: 1527 (7.3%)
Progress: 17200 / 234837 | Success: 15673 | Failed: 1527 (7.3%)
Progress: 17250 / 234837 | Success: 15723 | Failed: 1527 (7.3%)
Progress: 17300 / 234837 | Success: 15773 | Failed: 1527 (7.4%)
Progress: 17350 / 234837 | Success: 15823 | Failed: 1527 (7.4%)
Progress: 17400 / 234837 | Success: 15870 | Failed: 1530 (7.4%)
Progress: 17450 / 234837 | Success: 15916 | Failed: 1534 (7.4%)
Progress: 17500 / 234837 | Success: 15961 | Failed: 1539 (7.5%)
Progress: 17550 / 234837 | Success: 16005 | Failed: 1545 (7.5%)
Progress: 17600 / 234837 | Success: 16053 | Failed: 1547 (7.5%)
Progress: 17650 / 234837 | Success: 16101 | Failed: 1549 (7.5%)
Progress: 17700 / 234837 | Success: 16147 | Failed: 1553 (7.5%)
Progress: 17750 / 234837 | Success: 16192 | Failed: 1558 (7.6%)
Progress: 17800 / 234837 | Success: 16242 | Failed: 1558 (7.6%)
Progress: 17850 / 234837 | Success: 16292 | Failed: 1558 (7.6%)
Progress: 17900 / 234837 | Success: 16342 | Failed: 1558 (7.6%)
Progress: 17950 / 234837 | Success: 16391 | Failed: 1559 (7.6%)
Progress: 18000 / 234837 | Success: 16437 | Failed: 1563 (7.7%)
Progress: 18050 / 234837 | Success: 16481 | Failed: 1569 (7.7%)
Progress: 18100 / 234837 | Success: 16524 | Failed: 1576 (7.7%)
Progress: 18150 / 234837 | Success: 16566 | Failed: 1584 (7.7%)
Progress: 18200 / 234837 | Success: 16616 | Failed: 1584 (7.8%)
Progress: 18250 / 234837 | Success: 16665 | Failed: 1585 (7.8%)
Progress: 18300 / 234837 | Success: 16713 | Failed: 1587 (7.8%)
Progress: 18350 / 234837 | Success: 16761 | Failed: 1589 (7.8%)
Progress: 18400 / 234837 | Success: 16808 | Failed: 1592 (7.8%)
Progress: 18450 / 234837 | Success: 16854 | Failed: 1596 (7.9%)
